Name,Description,Node Assignment
9014A-VEZA-FIL3,Фильтр запылен P36,40127-ESD-01-04A
9014A-VEZA-FIL4,Фильтр запылен P36a,40127-ESD-01-04A
9014A-VEZA-FIRE1,Пожар вентилятор P34,40127-ESD-01-04A
9014A-VEZA-FIRE2,Пожар вентилятор P34a,40127-ESD-01-04A
9014A-VEZA-FIRE3,Пожар вентилятор P36,40127-ESD-01-04A
9014A-VEZA-FIRE4,Пожар вентилятор P36a,40127-ESD-01-04A
9014A-VEZA-FIRE5,Пожар вентилятор P35,40127-ESD-01-04A
9014A-VEZA-FIRE6,Пожар вентилятор B47,40127-ESD-01-04A
9014A-VEZA-FIRE7,Пожар вентилятор B48,40127-ESD-01-04A
9014A-VEZA-FPH_1,Обобщенная авария калорифера Р34,40127-ESD-01-04A
9014A-VEZA-FPH_2,Обобщенная авария калорифера Р34a,40127-ESD-01-04A
9014A-VEZA-FPH_3,Обобщенная авария калорифера Р36,40127-ESD-01-04A
9014A-VEZA-FPH_4,Обобщенная авария калорифера Р36a,40127-ESD-01-04A
9014A-VEZA-GAS_1,Загазованность вентилятор P34,40127-ESD-01-04A
9014A-VEZA-GAS_2,Загазованность вентилятор P34a,40127-ESD-01-04A
9014A-VEZA-GAS_3,Загазованность вентилятор P36,40127-ESD-01-04A
9014A-VEZA-GAS_4,Загазованность вентилятор P36a,40127-ESD-01-04A
9014A-VEZA-GAS_5,Загазованность вентилятор P35,40127-ESD-01-04A
9014A-VEZA-GAS_6,Загазованность вентилятор B47,40127-ESD-01-04A
9014A-VEZA-GAS_7,Загазованность вентилятор B48,40127-ESD-01-04A
9014A-VEZA-HEAT1,Обогрев ВК,40127-ESD-01-04A
9014A-VEZA-HEAT2,Обогрев ВК,40127-ESD-01-04A
9014A-VEZA-HEAT3,Обогрев ВК,40127-ESD-01-04A
9014A-VEZA-HEAT4,Обогрев ВК,40127-ESD-01-04A
9014A-VEZA-HEAT5,Обогрев ВК,40127-ESD-01-04A
9014A-VEZA-P34,Вентилятор Р34,40127-ESD-01-04A
9014A-VEZA-P34A,Вентилятор Р34a,40127-ESD-01-04A
9014A-VEZA-P34AW,Ветилятор П34а,40127-ESD-01-04A
9014A-VEZA-P34W,Ветилятор П34,40127-ESD-01-04A
9014A-VEZA-P35,Вентилятор Р35,40127-ESD-01-04A
9014A-VEZA-P35W,Ветилятор П35,40127-ESD-01-04A
9014A-VEZA-P36,Вентилятор Р36,40127-ESD-01-04A
9014A-VEZA-P36A,Вентилятор Р36a,40127-ESD-01-04A
9014A-VEZA-P36AW,Ветилятор П36а,40127-ESD-01-04A
9014A-VEZA-P36W,Ветилятор П36,40127-ESD-01-04A
9014A-VEZA-REG1,Процент открытия клапана,40127-ESD-01-04A
9014A-VEZA-REG2,Процент открытия клапана,40127-ESD-01-04A
9014A-VEZA-REG3,Процент открытия клапана,40127-ESD-01-04A
9014A-VEZA-REG4,Процент открытия клапана,40127-ESD-01-04A
9014A-VEZA-STAT,Обрыв связи с локальным САУ,40127-ESD-01-04A
9014A-VEZA-T1,Температура наружного воздуха,40127-ESD-01-04A
9014A-VEZA-T10,Температура приточного воздуха,40127-ESD-01-04A
9014A-VEZA-T10_A,Авария привода клапана обр. тепл. P36,40127-ESD-01-04A
9014A-VEZA-T11,Температура обратного теплоносителя,40127-ESD-01-04A
9014A-VEZA-T11_A,Температура обр. теплоносителя аварийная P36,40127-ESD-01-04A
9014A-VEZA-T12,Температура комнатного воздуха,40127-ESD-01-04A
9014A-VEZA-T13,Температура наружного воздуха,40127-ESD-01-04A
9014A-VEZA-T14,Температура приточного воздуха,40127-ESD-01-04A
9014A-VEZA-T14_A,Авария привода клапана обр. тепл. P36a,40127-ESD-01-04A
9014A-VEZA-T15,Температура обратного теплоносителя,40127-ESD-01-04A
9014A-VEZA-T15_A,Температура обр. теплоносителя аварийная P36a,40127-ESD-01-04A
